count	reward_sum	squared_reward_sum	length
0	-116.03088512122298	10005.978092135916	69
1	-100.33647552288379	10004.892869055215	130
2	-61.632966288428555	12.793010404097272	2000
3	-97.46268453417484	10002.656177525629	95
4	-70.87769850792425	14.279609902448453	2000
5	-72.58604929935683	16.248738885135328	2000
6	-65.12572465247267	14.368389153298516	2000
7	-98.92234485957894	10004.9078729025	110
8	-66.5776422595175	11.026254230951421	2000
9	-100.5301527726256	10004.709747293602	102
10	-67.41515243529895	13.184251905385642	2000
11	-101.19127732948633	10002.00534031155	80
12	-110.73908214149499	10003.178467088155	63
13	-109.83664547226229	10002.938062678875	48
14	-66.68024555942515	9.871575712791678	2000
15	-61.97825242262685	11.934423022666019	2000
16	-118.24383467035585	10009.942096494558	66
17	-121.04763806454	10006.85736949143	100
18	-98.15859586630901	10004.776126057763	88
19	-65.03824793531962	12.125696922870063	2000
20	-110.280057646924	10002.277096450522	67
21	-180.25569029329978	10017.660625077267	1421
22	-114.71405860427271	10005.27929442739	46
23	-107.0199557411569	10003.428656031303	51
24	-107.7074880810817	10003.860050127285	51
25	-106.06131378575844	10002.843145886738	48
26	-134.63202863264814	10010.720350572225	157
27	-106.98130792810484	10003.87746354233	57
28	-109.80037685342573	10005.402547114865	58
29	-109.0761648909814	10004.617882765446	64
30	-110.16493234947238	10004.570860395246	66
31	-109.49839467849614	10004.486927817456	62
32	-108.93026487604932	10004.181019057603	70
33	-105.98044182169085	10002.391307714923	67
34	-109.41032378353567	10003.50268379531	80
35	-105.66915551757566	10002.489794845595	47
36	-106.96541595952485	10003.449833670838	48
37	-106.36417304515517	10003.124861134673	49
38	-106.05329187743374	10002.902448854064	49
39	-107.02733751011809	10003.585961429948	54
40	-118.87590425243054	10006.85289058663	62
41	-104.81091610285027	10002.550512346119	83
42	-105.38188138681953	10002.403255218574	62
43	-103.6654474036324	10002.648310643212	64
44	-108.20125452947235	10004.016207921213	55
45	-106.26835685331882	10002.935445019844	63
46	-120.4192411296226	10006.353718137247	90
47	-102.87313808418253	10002.985428949238	89
48	-104.874339934076	10003.31261535881	64
49	-132.08778121855443	10010.629164791093	139
50	-98.47131910655142	10005.021864589402	62
51	-98.8085342217299	10006.302771014129	102
52	-129.68912755113882	10008.192788283677	238
53	-104.33830657732054	10003.211681849783	99
54	-104.18917085261849	10002.23786963414	48
55	-103.9805579040245	10001.892833461021	45
56	-100.88971807461401	10002.818452119014	91
57	-105.96146653159006	10003.344911513665	50
58	-105.96119971272509	10002.31101852916	67
59	-139.05748302731593	10011.39339939029	322
60	-105.40343836220808	10002.50354523257	43
61	-104.51638209919871	10001.819124574155	41
62	-105.22774946502989	10002.311152883965	49
63	-104.26159700284255	10001.855005152584	42
64	-102.81765960441608	10002.619980862157	75
65	-98.96093306577225	10003.010834230554	82
66	-140.49786989806225	10013.217263628998	249
67	-127.43511261031878	10011.192589154854	107
68	-105.17033730459829	10003.705551855686	90
69	-117.42919173268507	10009.610870866305	79
70	-112.02569702909214	10004.710831865284	87
71	-107.35139819048298	10003.605625637994	93
72	-110.61971272940802	10005.238202989289	55
73	-107.87566376249595	10003.080802949957	62
74	-99.60499657842098	10002.235727385256	109
75	-100.86073139761316	10002.135577209621	78
76	-122.69965674605709	10008.460957437255	99
77	-109.71862935590586	10003.604481998154	52
78	-95.75112747133346	10003.602045293575	175
79	-102.27695372657865	10001.791488025254	63
80	-120.6205775506522	10006.9315945086	173
81	-116.96415279258521	10006.12449874391	161
82	-142.18624295996383	10015.888780032925	351
83	-102.41028964395653	10023.744344869907	568
84	-116.89277100968084	10005.639550715958	147
85	-104.84645165614688	10001.402485408771	64
86	-108.65421494339732	10003.095043556086	89
87	-112.83517648444217	10004.136227880905	95
88	-115.12230002937754	10004.100886764587	65
89	-124.20270569477432	10006.883308871316	327
90	-115.58658648961337	10003.034687353285	139
91	-134.43221584875306	10009.522429328092	198
92	-133.466649042893	10013.753692151346	141
93	-140.88184200569933	10010.759212730834	216
94	-143.6612594228263	10016.661576101149	238
95	-130.31623886396716	10013.372486561899	165
96	-135.90236968110813	10010.651689202281	187
97	-111.28544354310964	10003.453984362905	186
98	-117.73201618015872	10005.499039078672	85
99	-124.61601123143222	10006.79320909446	158
100	-124.7356269292172	10008.721295678675	112
101	-136.96130074910164	10010.953403736545	215
102	-131.01695764076032	10011.938929634956	130
103	-120.71838773416378	10006.176571111346	93
104	-140.16824501821537	10011.40205047294	207
105	-113.30950964936261	10005.061172085532	50
106	-128.11479146227398	10008.75246801763	111
107	-140.53246673207605	10015.094434435568	225
108	-133.32913862658677	10011.259964025856	138
109	-149.92205780224546	10014.319303475797	396
110	-141.06019769467005	10010.723836484465	274
111	-137.29710660677804	10008.738337913808	198
112	-142.91710877392111	10016.682194296996	291
113	-136.11784321560935	10014.752332929498	147
114	-134.3669435009321	10010.133226595754	282
115	-139.87467417175077	10012.92426028243	236
116	-135.1752096150018	10012.913546768992	200
117	-137.37083489425663	10015.138188704237	241
118	-137.7177536168134	10015.110759671375	204
119	-115.2130562134942	10004.517710723383	82
120	-136.28674305905562	10012.730837744872	225
121	-144.19232689877956	10011.5806216523	331
122	-149.31344893447874	10013.695901038727	310
123	-165.28484658013213	10018.508808623734	621
124	-151.3766895352487	10015.922683318377	381
125	-148.1812177081762	10014.939713698477	350
126	-162.4160695313404	10030.136067383355	594
127	-154.99040508235495	10017.902738870178	480
128	-139.61779600741704	10014.190923168973	241
129	-148.62594678554032	28.91905875841045	2000
130	-125.72752463676386	29.518070165418244	2000
131	-115.86221213952068	22.155103685251127	2000
132	-118.03591780271944	21.369535556879768	2000
133	-103.50816576054453	26.360197613653632	2000
134	-81.95291886501906	36.54018779256298	2000
